id,area,title,kind,stage,owner,agent,live,blocked_by,link,updated_at,summary
WB-001,Operations,Publish the Septuple workboard,Feature,In progress,Calyx,Calyx,working,,https://discord.com/channels/1406366272404586536/1529149416811003994,2026-07-21 17:20,"Build the shared claim board and keep its task state current."
#60,Editor,Make malformed rule recovery explicit,Pull request,Done,Calyx,Calyx,idle,,https://github.com/syzygy137/funpuzzles/pull/60,2026-07-21 17:33,"Shorten the missing-direction error and prove the editor recovers without a reload."
#58,Research,Measure solver strategies across every level,Pull request,In progress,Calyx,Pauli,idle,Exact and instrumented LLM runs,https://github.com/syzygy137/funpuzzles/pull/58,2026-07-21 12:32,"Compare fixed-work search methods with reproducible counts and uncertainty."
#59,Tutorial,Replace the tutorial set with Pattern Machine,Pull request,Review,Calyx,Calyx,idle,Tutorial curriculum decision,https://github.com/syzygy137/funpuzzles/pull/59,2026-07-21 16:14,"Teach the intact rule first and separate later syntax into concept-sized checkpoints."
#55,Navigation,Study account and player navigation,Pull request,Review,Calyx,Calyx,idle,Apply placement review,https://github.com/syzygy137/funpuzzles/pull/55,2026-07-21 06:49,"Move Players beneath the signed-in controls and make account controls fit long names."
#61,Engine,Allow finite slow qualification runs,Pull request,Review,Calyx,Calyx,idle,Product decision,https://github.com/syzygy137/funpuzzles/pull/61,2026-07-21 06:48,"Run finite machines for millions of steps without retaining millions of debugger frames."
IDEA-01,Editor,Show complete compile and runtime errors,Feature,Feature ideas,Unclaimed,None,idle,,,2026-07-21 15:35,"Replace the one-line ellipsis with a useful summary that opens the complete error."
IDEA-02,Navigation,Redesign level navigation,Feature,Feature ideas,Henry,None,idle,Henry's product plan,,2026-07-21 17:16,"Define the level-detail and navigation structure before another save interface is built."
IDEA-03,Source,Restore prior machine sources,Feature,Feature ideas,Unclaimed,None,idle,Navigation redesign,,2026-07-21 17:16,"Let a player retrieve an older submitted source without replacing the public best."
IDEA-04,Scoring,Calibrate search-resistance scores,Feature,Feature ideas,Calyx,None,blocked,Exact and instrumented LLM evidence,,2026-07-21 12:32,"Estimate normalized search work to dominate a result and report uncertainty honestly."
IDEA-05,Statistics,Show frontiers and score distributions,Feature,Feature ideas,Unclaimed,None,idle,Scoring model,,2026-07-21 17:00,"Expose States and Steps frontiers plus observed player score distributions."
#63,Scoring,Preserve Pareto-best public submissions,Pull request,Done,Calyx,Arendt,idle,,https://github.com/syzygy137/funpuzzles/pull/63,2026-07-21 08:28,"Keep a worse new submission in history without replacing the player's public best."
#62,Levels,Lowercase original input in Neighbor XOR,Pull request,Done,Calyx,Calyx,idle,,https://github.com/syzygy137/funpuzzles/pull/62,2026-07-21 06:45,"Make the Neighbor XOR instruction match the game's established lowercase voice."
